id,latitude,longitude,neighbourhood_cleansed,room_type,property_type,accommodates,bedrooms,bathrooms_num,minimum_nights,price_eur,review_scores_rating,number_of_reviews,unavailable_rate_90d
36207773,52.51376,13.45425,Frankfurter Allee Süd FK,Private room,Room in aparthotel,2,1.0,2.0,1,81.0,4.55,11,0.09890109890109888
36258637,52.52669,13.41062,Alexanderplatz,Private room,Private room in hostel,2,0.0,1.0,1,143.0,4.43,65,1.0
36259013,52.52669,13.41062,Alexanderplatz,Private room,Private room in hostel,2,1.0,1.0,1,143.0,4.25,109,1.0
36266731,52.50452,13.43703,nördliche Luisenstadt,Entire home/apt,Entire loft,5,2.0,2.5,3,223.0,4.8,167,1.0
36268374,52.5269,13.47922,Fennpfuhl,Private room,Private room in condo,2,1.0,1.0,10,57.0,4.93,147,0.0
36310980,52.468713288830045,13.439305333323173,Neuköllner Mitte/Zentrum,Entire home/apt,Entire rental unit,4,2.0,1.0,2,80.0,4.72,313,0.02197802197802201
36338771,52.52589,13.3903,Alexanderplatz,Private room,Private room in hostel,2,1.0,1.0,1,122.0,4.33,276,0.04395604395604391
36339392,52.52591,13.39078,Alexanderplatz,Private room,Private room in hostel,4,1.0,1.0,1,197.0,4.27,745,0.0
36340336,52.52568,13.39258,Alexanderplatz,Shared room,Shared room in hostel,1,1.0,1.0,1,49.0,4.29,429,0.10989010989010994
36360929,52.39625,13.1508,Zehlendorf  Südwest,Entire home/apt,Entire cottage,5,2.0,1.0,1,137.0,4.85,394,0.30000000000000004
36365039,52.49986,13.29076,Halensee,Entire home/apt,Entire rental unit,4,1.0,1.0,95,57.0,4.85,0,0.0
36386490,52.45244,13.57038,Dammvorstadt,Entire home/apt,Entire rental unit,2,0.0,1.0,179,50.0,4.85,0,0.0
36401268,52.53228,13.38138,Brunnenstr. Süd,Entire home/apt,Entire rental unit,3,1.0,1.0,3,106.0,4.63,163,0.0
36407792,52.53097,13.3949,Brunnenstr. Süd,Entire home/apt,Entire condo,2,1.0,1.0,18,72.0,5.0,12,1.0
36434098,52.52347,13.40552,Alexanderplatz,Entire home/apt,Entire rental unit,5,2.0,1.0,4,126.0,4.64,122,0.2417582417582418
36445603,52.51597,13.41897,Alexanderplatz,Entire home/apt,Entire rental unit,5,2.0,1.0,4,108.0,4.65,113,0.7472527472527473
36469742,52.47354,13.36766,Tempelhof,Entire home/apt,Entire rental unit,4,2.0,1.0,2,125.0,4.88,186,0.3076923076923077
36471954,52.47391,13.36962,Tempelhof,Entire home/apt,Entire rental unit,4,1.0,1.0,3,98.0,4.93,174,0.23076923076923073
36482180,52.4358,13.55825,Adlershof,Entire home/apt,Entire rental unit,5,3.0,1.0,30,55.0,5.0,3,0.0
36499864,52.55533,13.4168,Pankow Süd,Entire home/apt,Entire rental unit,2,1.0,1.0,5,95.0,4.93,27,1.0
36610240,52.53332,13.38224,Brunnenstr. Süd,Entire home/apt,Entire loft,2,0.0,1.0,92,62.0,4.8,10,0.0
36612997,52.60041,13.42112,Buchholz,Entire home/apt,Entire condo,2,1.0,1.0,2,81.0,4.74,129,0.0
36645094,52.50897,13.50586,Neu Lichtenberg,Private room,Private room in condo,2,1.0,1.0,2,67.0,4.85,39,1.0
36648125,52.53273,13.37947,Alexanderplatz,Entire home/apt,Entire rental unit,3,1.0,1.0,3,152.0,4.69,98,0.04395604395604391
36649452,52.53427,13.37919,Brunnenstr. Süd,Entire home/apt,Entire rental unit,6,3.0,2.5,3,268.0,4.93,61,0.0
